,countryA_alpha2,countryB_alpha2,metric,countryA_alpha3,countryB_alpha3
0,UA,CO,0.0,UKR,COL
1,UA,KR,0.3,UKR,KOR
2,UA,US,0.0,UKR,USA
3,UA,BG,0.0,UKR,BGR
4,UA,BZ,0.0,UKR,BLZ
5,UA,AU,0.02,UKR,AUS
6,UA,JP,0.08,UKR,JPN
7,UA,NL,0.02,UKR,NLD
8,UA,HK,0.0,UKR,HKG
9,UA,LT,0.02,UKR,LTU
10,UA,RO,0.0,UKR,ROU
11,UA,KE,0.0,UKR,KEN
12,UA,ES,0.02,UKR,ESP
13,UA,VN,0.0,UKR,VNM
14,UA,MX,0.0,UKR,MEX
15,UA,PE,0.0,UKR,PER
